Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,Traffic Type
2025-10-02 18:06:34,13.107.5.93,10.132.143.86,TCP,443,51616,54,HTTPS
2025-10-02 18:06:34,13.107.5.93,10.132.143.86,TCP,443,51616,54,HTTPS
2025-10-02 18:06:34,10.132.143.96,10.132.143.86,UDP,53,59968,195,DNS
2025-10-02 18:06:34,10.132.143.96,10.132.143.86,UDP,53,56376,207,DNS
2025-10-02 18:06:34,10.132.143.86,140.82.114.22,TCP,51627,443,66,HTTPS
2025-10-02 18:06:34,10.132.143.96,10.132.143.86,UDP,53,63830,139,DNS
2025-10-02 18:06:34,10.132.143.86,10.132.143.96,UDP,53156,53,80,DNS
2025-10-02 18:06:34,10.132.143.86,10.132.143.96,UDP,60743,53,80,DNS
2025-10-02 18:06:34,13.107.5.93,10.132.143.86,TCP,443,51616,54,HTTPS
2025-10-02 18:06:34,13.107.5.93,10.132.143.86,TCP,443,51616,54,HTTPS
2025-10-02 18:06:34,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:34,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:34,10.132.143.86,20.60.225.129,TCP,51598,443,710,HTTPS
2025-10-02 18:06:34,13.69.116.105,10.132.143.86,TCP,443,51612,66,HTTPS
2025-10-02 18:06:34,10.132.143.96,10.132.143.86,UDP,53,53156,129,DNS
2025-10-02 18:06:34,10.132.143.96,10.132.143.86,UDP,53,60743,141,DNS
2025-10-02 18:06:34,10.132.143.86,140.82.114.21,TCP,51629,443,66,HTTPS
2025-10-02 18:06:34,140.82.114.22,10.132.143.86,TCP,443,51627,66,HTTPS
2025-10-02 18:06:34,20.207.73.85,10.132.143.86,TCP,443,51624,66,HTTPS
2025-10-02 18:06:34,20.207.73.85,10.132.143.86,TCP,443,51623,66,HTTPS
2025-10-02 18:06:34,20.207.73.85,10.132.143.86,TCP,443,51618,66,HTTPS
2025-10-02 18:06:34,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:35,140.82.114.21,10.132.143.86,TCP,443,51629,66,HTTPS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,61567,53,92,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,57722,53,92,DNS
2025-10-02 18:06:35,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:35,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:35,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:35,10.132.143.96,10.132.143.86,UDP,53,61567,215,DNS
2025-10-02 18:06:35,10.132.143.96,10.132.143.86,UDP,53,57722,227,DNS
2025-10-02 18:06:35,10.132.143.86,13.89.179.8,TCP,51631,443,66,HTTPS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,61567,53,75,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,57722,53,75,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,56167,53,101,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,49789,53,101,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,49665,53,70,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,65001,53,70,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,58329,53,92,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,57379,53,92,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,50094,53,92,DNS
2025-10-02 18:06:35,10.132.143.86,140.82.114.22,TCP,51634,443,66,HTTPS
2025-10-02 18:06:35,13.89.179.8,10.132.143.86,TCP,443,51631,66,HTTPS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,65201,53,79,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,62552,53,79,DNS
2025-10-02 18:06:35,10.132.143.86,10.132.143.96,UDP,54173,53,79,DNS
2025-10-02 18:06:35,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:35,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:35,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:35,140.82.114.22,10.132.143.86,TCP,443,51634,66,HTTPS
2025-10-02 18:06:35,10.132.143.96,10.132.143.86,UDP,53,61567,229,DNS
2025-10-02 18:06:35,10.132.143.96,10.132.143.86,UDP,53,57722,269,DNS
2025-10-02 18:06:35,10.132.143.96,10.132.143.86,UDP,53,56167,248,DNS
2025-10-02 18:06:35,10.132.143.96,10.132.143.86,UDP,53,49789,260,DNS
